Date,TS,RH2M,dMdt,M
2021-01-02,3.5179547817614956,91.04853949921042,0.4973967073417753,0.4973967073417753
2021-01-03,3.6479547817614955,90.28853949921043,-0.032,0.4653967073417753
2021-01-04,4.177954781761495,90.66853949921042,0.5002149399095982,0.9656116472513735
2021-01-05,3.7379547817614953,91.91853949921042,0.3000265025891203,1.2656381498404938
2021-01-06,3.9079547817614957,89.60853949921042,-0.032,1.2336381498404938
2021-01-07,1.3079547817614954,91.41853949921042,0.0,1.2336381498404938
2021-01-08,1.3079547817614954,90.66853949921042,-0.0016,1.2320381498404938
2021-01-09,1.6879547817614955,90.04853949921042,-0.0016,1.2304381498404937
2021-01-10,1.7179547817614955,93.22853949921043,-0.0016,1.2288381498404937
2021-01-11,5.7079547817614955,91.04853949921042,0.33221995079492805,1.5610581006354218
2021-01-12,5.397954781761495,85.16853949921042,-0.032,1.5290581006354218
2021-01-13,5.447954781761496,88.16853949921042,0.0,1.5290581006354218
2021-01-14,5.9579547817614955,91.97853949921043,0.2935478483035157,1.8226059489389375
2021-01-15,2.6079547817614954,81.91853949921042,-0.032,1.7906059489389374
2021-01-16,4.4579547817614955,87.97853949921043,0.0,1.7906059489389374
2021-01-17,4.687954781761495,89.54853949921042,0.0,1.7906059489389374
2021-01-18,5.4179547817614955,90.35853949921042,0.0,1.7906059489389374
2021-01-19,9.107954781761496,89.41853949921042,0.28130979853759946,2.071915747476537
2021-01-20,8.777954781761496,87.85853949921042,0.0,2.071915747476537
2021-01-21,5.537954781761496,85.35853949921042,-0.032,2.039915747476537
2021-01-22,3.9279547817614953,89.66853949921042,0.0,2.039915747476537
2021-01-23,2.0879547817614954,89.47853949921043,-0.0016,2.038315747476537
2021-01-24,1.7479547817614955,88.41853949921042,-0.0016,2.036715747476537
2021-01-25,1.5879547817614954,91.22853949921043,-0.0016,2.0351157474765373
2021-01-26,3.1179547817614957,88.47853949921043,-0.0016,2.0335157474765375
2021-01-27,6.677954781761495,93.66853949921042,0.22108645587165984,2.254602203348197
2021-01-28,9.317954781761495,90.60853949921042,0.21804511278585195,2.472647316134049
2021-01-29,7.647954781761495,88.66853949921042,0.0,2.472647316134049
2021-01-30,5.037954781761496,89.47853949921043,0.0,2.472647316134049
2021-01-31,3.3679547817614957,85.28853949921043,-0.032,2.440647316134049
